卫星对,开始时间,结束时间
Satellite1-Satellite111,6 Jun 2025 04:00:00.000,7 Jun 2025 04:00:00.000
Satellite1-Satellite112,6 Jun 2025 04:00:00.000,7 Jun 2025 04:00:00.000
Satellite1-Satellite116,6 Jun 2025 04:00:00.000,7 Jun 2025 04:00:00.000
Satellite1-Satellite121,6 Jun 2025 04:00:00.000,7 Jun 2025 04:00:00.000
Satellite1-Satellite125,6 Jun 2025 04:45:55.313,6 Jun 2025 04:47:32.222
Satellite1-Satellite125,6 Jun 2025 05:43:55.869,6 Jun 2025 05:45:32.776
Satellite1-Satellite125,6 Jun 2025 06:41:56.421,6 Jun 2025 06:43:33.332
Satellite1-Satellite125,6 Jun 2025 07:39:56.980,6 Jun 2025 07:41:33.885
Satellite1-Satellite125,6 Jun 2025 08:37:57.531,6 Jun 2025 08:39:34.444
Satellite1-Satellite125,6 Jun 2025 09:35:58.087,6 Jun 2025 09:37:34.999
Satellite1-Satellite125,6 Jun 2025 10:33:58.646,6 Jun 2025 10:35:35.554
Satellite1-Satellite125,6 Jun 2025 11:31:59.202,6 Jun 2025 11:33:36.110
Satellite1-Satellite125,6 Jun 2025 12:29:59.753,6 Jun 2025 12:31:36.665
Satellite1-Satellite125,6 Jun 2025 13:28:00.313,6 Jun 2025 13:29:37.218
Satellite1-Satellite125,6 Jun 2025 14:26:00.864,6 Jun 2025 14:27:37.776
Satellite1-Satellite125,6 Jun 2025 15:24:01.419,6 Jun 2025 15:25:38.332
Satellite1-Satellite125,6 Jun 2025 16:22:01.979,6 Jun 2025 16:23:38.882
Satellite1-Satellite125,6 Jun 2025 17:20:02.534,6 Jun 2025 17:21:39.443
Satellite1-Satellite125,6 Jun 2025 18:18:03.086,6 Jun 2025 18:19:39.998
Satellite1-Satellite125,6 Jun 2025 19:16:03.645,6 Jun 2025 19:17:40.550
Satellite1-Satellite125,6 Jun 2025 20:14:04.197,6 Jun 2025 20:15:41.109
Satellite1-Satellite125,6 Jun 2025 21:12:04.752,6 Jun 2025 21:13:41.665
Satellite1-Satellite125,6 Jun 2025 22:10:05.311,6 Jun 2025 22:11:42.216
Satellite1-Satellite125,6 Jun 2025 23:08:05.864,6 Jun 2025 23:09:42.774
Satellite1-Satellite125,7 Jun 2025 00:06:06.419,7 Jun 2025 00:07:43.331
Satellite1-Satellite125,7 Jun 2025 01:04:06.978,7 Jun 2025 01:05:43.883
Satellite1-Satellite125,7 Jun 2025 02:02:07.530,7 Jun 2025 02:03:44.442
Satellite1-Satellite125,7 Jun 2025 03:00:08.085,7 Jun 2025 03:01:44.996
Satellite1-Satellite125,7 Jun 2025 03:58:08.642,7 Jun 2025 03:59:45.553
Satellite1-Satellite126,6 Jun 2025 04:00:00.000,7 Jun 2025 04:00:00.000
Satellite1-Satellite131,6 Jun 2025 04:16:18.166,6 Jun 2025 04:35:15.625
Satellite1-Satellite131,6 Jun 2025 05:14:18.726,6 Jun 2025 05:33:16.182
Satellite1-Satellite131,6 Jun 2025 06:12:19.277,6 Jun 2025 06:31:16.741
Satellite1-Satellite131,6 Jun 2025 07:10:19.833,6 Jun 2025 07:29:17.292
Satellite1-Satellite131,6 Jun 2025 08:08:20.393,6 Jun 2025 08:27:17.852
Satellite1-Satellite131,6 Jun 2025 09:06:20.944,6 Jun 2025 09:25:18.407
Satellite1-Satellite131,6 Jun 2025 10:04:21.499,6 Jun 2025 10:23:18.958
Satellite1-Satellite131,6 Jun 2025 11:02:22.059,6 Jun 2025 11:21:19.514
Satellite1-Satellite131,6 Jun 2025 12:00:22.610,6 Jun 2025 12:19:20.074
Satellite1-Satellite131,6 Jun 2025 12:58:23.165,6 Jun 2025 13:17:20.625
Satellite1-Satellite131,6 Jun 2025 13:56:23.725,6 Jun 2025 14:15:21.181
Satellite1-Satellite131,6 Jun 2025 14:54:24.276,6 Jun 2025 15:13:21.735
Satellite1-Satellite131,6 Jun 2025 15:52:24.837,6 Jun 2025 16:11:22.296
Satellite1-Satellite131,6 Jun 2025 16:50:25.387,6 Jun 2025 17:09:22.846
Satellite1-Satellite131,6 Jun 2025 17:48:25.947,6 Jun 2025 18:07:23.404
Satellite1-Satellite131,6 Jun 2025 18:46:26.499,6 Jun 2025 19:05:23.962
Satellite1-Satellite131,6 Jun 2025 19:44:27.054,6 Jun 2025 20:03:24.513
Satellite1-Satellite131,6 Jun 2025 20:42:27.614,6 Jun 2025 21:01:25.073
