卫星对,开始时间,结束时间
Satellite1-Satellite111,6 Jun 2025 04:00:00.000,7 Jun 2025 04:00:00.000,86400.0
Satellite1-Satellite112,6 Jun 2025 04:00:00.000,7 Jun 2025 04:00:00.000,86400.0
Satellite1-Satellite116,6 Jun 2025 04:00:00.000,7 Jun 2025 04:00:00.000,86400.0
Satellite1-Satellite121,6 Jun 2025 04:00:00.000,7 Jun 2025 04:00:00.000,86400.0
Satellite1-Satellite125,6 Jun 2025 04:45:55.313,6 Jun 2025 04:47:32.222,96.909
Satellite1-Satellite125,6 Jun 2025 05:43:55.869,6 Jun 2025 05:45:32.776,96.907
Satellite1-Satellite125,6 Jun 2025 06:41:56.421,6 Jun 2025 06:43:33.332,96.911
Satellite1-Satellite125,6 Jun 2025 07:39:56.980,6 Jun 2025 07:41:33.885,96.905
Satellite1-Satellite125,6 Jun 2025 08:37:57.531,6 Jun 2025 08:39:34.444,96.913
Satellite1-Satellite125,6 Jun 2025 09:35:58.087,6 Jun 2025 09:37:34.999,96.912
Satellite1-Satellite125,6 Jun 2025 10:33:58.646,6 Jun 2025 10:35:35.554,96.908
Satellite1-Satellite125,6 Jun 2025 11:31:59.202,6 Jun 2025 11:33:36.110,96.908
Satellite1-Satellite125,6 Jun 2025 12:29:59.753,6 Jun 2025 12:31:36.665,96.912
Satellite1-Satellite125,6 Jun 2025 13:28:00.313,6 Jun 2025 13:29:37.218,96.905
Satellite1-Satellite125,6 Jun 2025 14:26:00.864,6 Jun 2025 14:27:37.776,96.912
Satellite1-Satellite125,6 Jun 2025 15:24:01.419,6 Jun 2025 15:25:38.332,96.913
Satellite1-Satellite125,6 Jun 2025 16:22:01.979,6 Jun 2025 16:23:38.882,96.903
Satellite1-Satellite125,6 Jun 2025 17:20:02.534,6 Jun 2025 17:21:39.443,96.909
Satellite1-Satellite125,6 Jun 2025 18:18:03.086,6 Jun 2025 18:19:39.998,96.912
Satellite1-Satellite125,6 Jun 2025 19:16:03.645,6 Jun 2025 19:17:40.550,96.905
Satellite1-Satellite125,6 Jun 2025 20:14:04.197,6 Jun 2025 20:15:41.109,96.912
Satellite1-Satellite125,6 Jun 2025 21:12:04.752,6 Jun 2025 21:13:41.665,96.913
Satellite1-Satellite125,6 Jun 2025 22:10:05.311,6 Jun 2025 22:11:42.216,96.905
Satellite1-Satellite125,6 Jun 2025 23:08:05.864,6 Jun 2025 23:09:42.774,96.91
