卫星-目标对,开始时间,结束时间,持续时长(秒)
Satellite111-m10n1,6 Jun 2025 04:05:14.911,6 Jun 2025 04:19:16.657,841.746
Satellite111-m10n2,6 Jun 2025 04:10:50.879,6 Jun 2025 04:20:25.277,574.398
Satellite111-m11n1,6 Jun 2025 04:22:25.482,6 Jun 2025 04:26:36.919,251.437
Satellite111-m11n2,6 Jun 2025 04:23:06.601,6 Jun 2025 04:27:42.377,275.776
Satellite111-m12n1,6 Jun 2025 04:04:03.634,6 Jun 2025 04:05:23.364,79.73
Satellite111-m13n1,6 Jun 2025 04:24:19.706,6 Jun 2025 04:25:26.888,67.182
Satellite111-m13n1,6 Jun 2025 04:29:28.482,6 Jun 2025 04:37:27.046,478.564
Satellite111-m13n2,6 Jun 2025 04:25:01.462,6 Jun 2025 04:26:13.050,71.588
Satellite111-m13n2,6 Jun 2025 04:30:14.663,6 Jun 2025 04:31:27.340,72.677
Satellite111-m13n2,6 Jun 2025 04:32:12.875,6 Jun 2025 04:38:20.590,367.715
Satellite111-m14n1,6 Jun 2025 04:09:58.887,6 Jun 2025 04:18:41.969,523.082
Satellite111-m14n2,6 Jun 2025 04:09:44.728,6 Jun 2025 04:19:30.419,585.691
Satellite111-m15n1,6 Jun 2025 04:06:12.287,6 Jun 2025 04:10:21.795,249.508
Satellite111-m15n2,6 Jun 2025 04:07:22.170,6 Jun 2025 04:12:42.519,320.349
Satellite111-m15n2,6 Jun 2025 04:17:51.146,6 Jun 2025 04:20:29.645,158.499
Satellite111-m16n1,6 Jun 2025 04:04:12.415,6 Jun 2025 04:08:10.198,237.783
Satellite111-m1n1,6 Jun 2025 04:08:43.571,6 Jun 2025 04:17:05.853,502.282
Satellite111-m1n1,6 Jun 2025 04:19:40.713,6 Jun 2025 04:27:45.182,484.469
Satellite111-m20n1,6 Jun 2025 04:06:55.709,6 Jun 2025 04:16:02.716,547.007
Satellite111-m20n2,6 Jun 2025 04:10:05.770,6 Jun 2025 04:17:17.367,431.597
Satellite111-m21n1,6 Jun 2025 04:04:26.878,6 Jun 2025 04:14:32.068,605.19
Satellite111-m21n2,6 Jun 2025 04:06:50.341,6 Jun 2025 04:16:44.325,593.984
Satellite111-m22n1,6 Jun 2025 04:04:33.276,6 Jun 2025 04:17:27.727,774.451
Satellite111-m23n1,6 Jun 2025 04:09:27.975,6 Jun 2025 04:16:28.463,420.488
Satellite111-m23n1,6 Jun 2025 04:19:07.162,6 Jun 2025 04:26:05.404,418.242
Satellite111-m23n2,6 Jun 2025 04:10:34.498,6 Jun 2025 04:27:13.341,998.843
Satellite111-m25n1,6 Jun 2025 04:09:49.262,6 Jun 2025 04:17:14.570,445.308
Satellite111-m25n2,6 Jun 2025 04:12:47.862,6 Jun 2025 04:19:16.555,388.693
Satellite111-m27n1,6 Jun 2025 04:24:03.751,6 Jun 2025 04:33:13.747,549.996
Satellite111-m27n2,6 Jun 2025 04:24:26.247,6 Jun 2025 04:34:06.436,580.189
Satellite111-m28n1,6 Jun 2025 04:03:55.110,6 Jun 2025 04:06:57.731,182.621
Satellite111-m29n1,6 Jun 2025 04:07:10.648,6 Jun 2025 04:15:13.850,483.202
Satellite111-m29n2,6 Jun 2025 04:10:10.934,6 Jun 2025 04:18:34.306,503.372
Satellite111-m2n1,6 Jun 2025 04:04:33.277,6 Jun 2025 04:18:42.233,848.956
Satellite111-m2n2,6 Jun 2025 04:09:17.885,6 Jun 2025 04:21:26.154,728.269
Satellite111-m30n1,6 Jun 2025 04:13:25.982,6 Jun 2025 04:19:34.770,368.788
Satellite111-m6n1,6 Jun 2025 04:04:40.238,6 Jun 2025 04:08:04.082,203.844
Satellite111-m6n2,6 Jun 2025 04:06:38.625,6 Jun 2025 04:11:54.771,316.146
Satellite111-m7n1,6 Jun 2025 04:12:23.416,6 Jun 2025 04:22:19.226,595.81
Satellite111-m7n2,6 Jun 2025 04:13:24.852,6 Jun 2025 04:23:44.525,619.673
Satellite111-m8n1,6 Jun 2025 04:04:20.858,6 Jun 2025 04:09:47.737,326.879
Satellite112-m11n1,6 Jun 2025 04:11:31.016,6 Jun 2025 04:21:09.660,578.644
Satellite112-m11n2,6 Jun 2025 04:12:14.304,6 Jun 2025 04:21:56.817,582.513
Satellite112-m13n1,6 Jun 2025 04:15:09.905,6 Jun 2025 04:17:19.941,130.036
Satellite112-m13n1,6 Jun 2025 04:23:56.845,6 Jun 2025 04:25:15.276,78.431
Satellite112-m13n2,6 Jun 2025 04:16:27.312,6 Jun 2025 04:19:25.488,178.176
Satellite112-m13n2,6 Jun 2025 04:23:51.559,6 Jun 2025 04:25:34.592,103.033
Satellite112-m14n1,6 Jun 2025 04:04:24.154,6 Jun 2025 04:13:48.471,564.317
Satellite112-m14n2,6 Jun 2025 04:06:07.622,6 Jun 2025 04:12:45.725,398.103
Satellite112-m27n1,6 Jun 2025 04:11:33.843,6 Jun 2025 04:14:13.268,159.425
Satellite112-m27n1,6 Jun 2025 04:17:07.802,6 Jun 2025 04:17:55.166,47.364
Satellite112-m27n1,6 Jun 2025 04:18:23.919,6 Jun 2025 04:19:09.736,45.817
Satellite112-m27n1,6 Jun 2025 04:22:12.590,6 Jun 2025 04:24:45.430,152.84
Satellite112-m27n2,6 Jun 2025 04:12:20.732,6 Jun 2025 04:18:11.348,350.616
Satellite112-m27n2,6 Jun 2025 04:19:29.644,6 Jun 2025 04:25:22.858,353.214
Satellite112-m30n1,6 Jun 2025 04:04:16.272,6 Jun 2025 04:05:49.985,93.713
Satellite112-m30n1,6 Jun 2025 04:09:49.179,6 Jun 2025 04:15:15.555,326.376
Satellite112-m35n1,6 Jun 2025 04:04:10.238,6 Jun 2025 04:11:15.245,425.007
Satellite112-m35n1,6 Jun 2025 04:14:04.524,6 Jun 2025 04:15:21.858,77.334
Satellite112-m35n1,6 Jun 2025 04:22:24.892,6 Jun 2025 04:23:41.920,77.028
Satellite112-m35n2,6 Jun 2025 04:06:31.495,6 Jun 2025 04:11:44.338,312.843
Satellite112-m35n2,6 Jun 2025 04:14:51.651,6 Jun 2025 04:16:48.198,116.547
Satellite112-m35n2,6 Jun 2025 04:23:00.628,6 Jun 2025 04:24:20.434,79.806
Satellite112-m36n1,6 Jun 2025 04:25:09.991,6 Jun 2025 04:25:18.569,8.578
Satellite112-m39n1,6 Jun 2025 04:11:42.203,6 Jun 2025 04:16:05.777,263.574
Satellite112-m39n1,6 Jun 2025 04:19:25.853,6 Jun 2025 04:21:52.519,146.666
Satellite112-m4n1,6 Jun 2025 04:05:43.083,6 Jun 2025 04:06:59.614,76.531
Satellite112-m4n2,6 Jun 2025 04:07:47.068,6 Jun 2025 04:08:43.939,56.871
Satellite112-m7n1,6 Jun 2025 04:04:14.451,6 Jun 2025 04:11:32.736,438.285
Satellite112-m7n2,6 Jun 2025 04:06:09.423,6 Jun 2025 04:12:23.236,373.813
Satellite113-m11n1,6 Jun 2025 04:06:47.950,6 Jun 2025 04:11:19.968,272.018
Satellite113-m11n2,6 Jun 2025 04:08:34.245,6 Jun 2025 04:12:18.265,224.02
Satellite113-m26n1,6 Jun 2025 04:04:07.978,6 Jun 2025 04:05:55.243,107.265
Satellite113-m27n1,6 Jun 2025 04:03:24.122,6 Jun 2025 04:12:36.891,552.769
Satellite113-m27n2,6 Jun 2025 04:05:41.463,6 Jun 2025 04:13:12.278,450.815
Satellite113-m39n1,6 Jun 2025 04:08:29.422,6 Jun 2025 04:12:37.982,248.56
Satellite116-m13n1,6 Jun 2025 04:39:14.983,6 Jun 2025 04:40:35.111,80.128
Satellite116-m13n2,6 Jun 2025 04:39:01.125,6 Jun 2025 04:42:06.724,185.599
Satellite116-m15n2,6 Jun 2025 04:20:03.995,6 Jun 2025 04:20:43.245,39.25
Satellite116-m23n2,6 Jun 2025 04:27:27.117,6 Jun 2025 04:32:00.253,273.136
Satellite116-m33n1,6 Jun 2025 04:30:37.881,6 Jun 2025 04:33:02.369,144.488
Satellite116-m7n1,6 Jun 2025 04:22:01.312,6 Jun 2025 04:22:19.388,18.076
Satellite116-m7n2,6 Jun 2025 04:23:09.952,6 Jun 2025 04:24:20.129,70.177
Satellite121-m10n1,6 Jun 2025 04:12:16.310,6 Jun 2025 04:21:11.027,534.717
Satellite121-m10n2,6 Jun 2025 04:19:05.796,6 Jun 2025 04:20:19.343,73.547
Satellite121-m11n1,6 Jun 2025 04:12:24.591,6 Jun 2025 04:23:59.073,694.482
Satellite121-m11n2,6 Jun 2025 04:13:26.858,6 Jun 2025 04:24:28.065,661.207
Satellite121-m13n1,6 Jun 2025 04:18:46.431,6 Jun 2025 04:19:38.305,51.874
Satellite121-m13n1,6 Jun 2025 04:28:39.016,6 Jun 2025 04:30:27.067,108.051
Satellite121-m13n2,6 Jun 2025 04:19:34.572,6 Jun 2025 04:20:42.136,67.564
Satellite121-m13n2,6 Jun 2025 04:29:29.840,6 Jun 2025 04:31:13.793,103.953
Satellite121-m14n1,6 Jun 2025 04:10:44.567,6 Jun 2025 04:19:47.892,543.325
