卫星-目标对,开始时间,结束时间,持续时长(秒)
Satellite111-m1-1,6 Jun 2025 04:21:35.002,6 Jun 2025 04:24:43.153,188.151
Satellite111-m1-2,6 Jun 2025 04:22:49.549,6 Jun 2025 04:26:29.400,219.851
Satellite122-m1-1,6 Jun 2025 04:06:25.446,6 Jun 2025 04:16:04.529,579.083
Satellite122-m1-2,6 Jun 2025 04:06:38.791,6 Jun 2025 04:16:52.822,614.031
Satellite123-m1-1,6 Jun 2025 04:04:35.615,6 Jun 2025 04:07:35.128,179.513
Satellite123-m1-2,6 Jun 2025 04:04:55.676,6 Jun 2025 04:07:57.695,182.019
Satellite131-m1-2,6 Jun 2025 04:17:02.266,6 Jun 2025 04:22:19.388,317.122
Satellite132-m1-1,6 Jun 2025 04:09:15.029,6 Jun 2025 04:17:18.177,483.148
Satellite132-m1-2,6 Jun 2025 04:08:19.271,6 Jun 2025 04:17:26.894,547.623
Satellite141-m1-1,6 Jun 2025 04:06:17.814,6 Jun 2025 04:21:56.839,939.025
Satellite141-m1-2,6 Jun 2025 04:07:48.698,6 Jun 2025 04:23:27.571,938.873
Satellite151-m1-1,6 Jun 2025 04:04:32.544,6 Jun 2025 04:23:12.551,1120.007
Satellite151-m1-2,6 Jun 2025 04:05:51.886,6 Jun 2025 04:26:03.746,1211.86
Satellite156-m1-2,6 Jun 2025 04:25:52.151,6 Jun 2025 04:26:29.846,37.695
Satellite166-m1-1,6 Jun 2025 04:18:51.268,6 Jun 2025 04:22:38.328,227.06
Satellite166-m1-2,6 Jun 2025 04:19:34.957,6 Jun 2025 04:23:59.369,264.412
